Institute,Program,Quota,Seat,Gender,Note,Code,Opening Rank (int),Closing Rank (int)
"Trinity Institute of Innovations in Professional Studies, Plot no 2B/1, Knowledge Park - Ill, Greater Noida, Uttar Pradesh - 2011308",Computer Science & Engineering,OS,SC,Gender-Neutral,,SCNOOS,490431,490431
"Trinity Institute of Innovations in Professional Studies, Plot no 2B/1, Knowledge Park - Ill, Greater Noida, Uttar Pradesh - 2011308",Computer Science & Technology,HS,OPEN,Gender-Neutral,,OPNOHS,438565,1412818
"Trinity Institute of Innovations in Professional Studies, Plot no 2B/1, Knowledge Park - Ill, Greater Noida, Uttar Pradesh - 2011308",Computer Science & Technology,OS,OPEN,Gender-Neutral,,OPNOOS,209806,247730
"Trinity Institute of Innovations in Professional Studies, Plot no 2B/1, Knowledge Park - Ill, Greater Noida, Uttar Pradesh - 2011308",Computer Science & Technology,OS,SC,Gender-Neutral,,SCNOOS,1067620,1152726
"Trinity Institute of Innovations in Professional Studies, Plot no 2B/1, Knowledge Park - Ill, Greater Noida, Uttar Pradesh - 2011308",Information Technology,HS,OPEN,Gender-Neutral,,OPNOHS,697488,1375947
"Trinity Institute of Innovations in Professional Studies, Plot no 2B/1, Knowledge Park - Ill, Greater Noida, Uttar Pradesh - 2011308",Information Technology,OS,OPEN,Gender-Neutral,Defence,OPDFOS,264582,264582
"Trinity Institute of Innovations in Professional Studies, Plot no 2B/1, Knowledge Park - Ill, Greater Noida, Uttar Pradesh - 2011308",Information Technology,OS,OPEN,Gender-Neutral,,OPNOOS,157436,204689
"Trinity Institute of Innovations in Professional Studies, Plot no 2B/1, Knowledge Park - Ill, Greater Noida, Uttar Pradesh - 2011308",Information Technology,OS,SC,Gender-Neutral,,SCNOOS,1210264,1210264
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),AI,OPEN,Gender-Neutral,Kashmiri Migrant,NOKMAI,176765,176765
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),HS,OBC-NCL,Gender-Neutral,Defence,BCDFHS,676292,782032
University School of Automation & Robotics,B.Tech./M. Tech. (DD) (Al- Ds),HS,OBC-NCL,Gender-Neutral,,BCNOHS,191822,258792
