Round,Institute,Program,Quota,Seat,Gender,Note,Opening Rank (int),Closing Rank (int)
Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Mechanical Engineering,HS,OPEN,Female-only (including Supernumerary),,841779,841779
Round 1,"Institute Of Technology & Management,Aligarh",Mechanical Engineering,HS,OPEN,Gender-Neutral,,523331,728558
Round 1,"Meerut International Institute Of Technology,Meerut",Computer Science and Engineering,HS,OPEN,Gender-Neutral,,329282,329282
Round 1,"Dr.Ambedkar Institute Of Technology For Divyangjan, U.P., Kanpur",Biotechnology,HS,EWS,Female-only (including Supernumerary),,539772,651440
Round 1,"Dr.M.C.Saxena College Of Engg. & Technology,Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,1078809,1078809
Round 1,"Kamla Nehru Institute Of Technology,Sultanpur",Information Technology,HS,EWS (PwD),Gender-Neutral,,1100488,1100488
Round 1,"Institute Of Technology & Management,Aligarh",Electrical Engineering,HS,OPEN,Gender-Neutral,,916906,1379741
Round 1,"Kcc Institute Of Technology & Management,Gautam Buddh Nagar",Computer Science And Engineering(Data Science),HS,OPEN,Female-only (including Supernumerary),,403090,725604
Round 1,"Madhu Vachaspati Institute Of Engineering & Technology,Kaushambi",Mechanical Engineering,HS,OPEN,Gender-Neutral,,950509,950509
Round 1,"Abes Engg.College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Female-only (including Supernumerary),,329038,798313
Round 1,"Dr.M.C.Saxena College Of Engg. & Technology,Lucknow",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,1403344,1403344
Round 1,"Institute Of Technology & Management,Lucknow",Information Technology,HS,EWS,Female-only (including Supernumerary),,676075,676075
Round 1,"I.M.S. Engineering College,Ghaziabad",Electronics and Communication Engineering,HS,OBC-NCL,Gender-Neutral,,923885,1161185
Round 1,"S R Group Of Institutions (College Of Science And Engineering),Jhansi",Artificial Intelligence And Machine Learning,HS,SC,Gender-Neutral,,1199922,1199922
Round 1,"Kcc Institute Of Technology & Management,Gautam Buddh Nagar",Artificial Intelligence And Machine Learning,HS,OPEN,Female-only (including Supernumerary),,300463,657281
Round 1,"Mahatama Gandhi Mission College Of Engg. & Technology,Gautam Buddh Nagar",Electronics and Communication Engineering,HS,OPEN,Gender-Neutral,,565911,1302850
Round 1,"Bharat Ratna Baba Saheb Bhim Rao Ambedkar  Rajkiya Engineering College, Pratapgarh",Civil Engineering,HS,EWS,Gender-Neutral,,1279217,1279217
Round 1,"Dronacharya Group Of Institutions,Gautam Buddh Nagar",Electrical & Electronics Engineering,HS,OPEN,Gender-Neutral,,1315756,1315756
Round 1,"Babu Sunder Singh Institute Of Technology & Management,Lucknow",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,1332649,1332649
Round 1,"Rajkiya Engineering College,Ambedkar Nagar",Information Technology,HS,ST,Female-only (including Supernumerary),,1000471,1000471
Round 1,"Rajkiya Engineering College,Kannauj",Civil Engineering,HS,EWS,Gender-Neutral,,538205,743287
Round 1,"Rajkiya Engineering College,Azamgarh",Civil Engineering,HS,SC,Gender-Neutral,,479614,1392988
Round 1,"Bansal Institute Of Engineering & Technology,Lucknow",Biotechnology,HS,OPEN,Gender-Neutral,,1042875,1042875
Round 1,"Ambalika Institute Of Management & Technology,Lucknow",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OBC-NCL,Female-only (including Supernumerary),,1126974,1126974
Round 1,"S.D.College Of Engineering & Technology,Muzaffarnagar",Mechanical Engineering,HS,OPEN,Gender-Neutral,,1442880,1471703
Round 1,"Sunderdeep Engineering College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OPEN,Female-only (including Supernumerary),,370233,982061
Round 1,"Institute Of Technology & Management,Gorakhpur",Computer Science And Engineering(Data Science),HS,OPEN,Female-only (including Supernumerary),,365343,1425867
Round 1,"Inderprastha Engg. College,Ghaziabad",Electronics and Communication Engineering,HS,OPEN,Female-only (including Supernumerary),,449274,1063536
Round 1,"Institute Of Technology & Management,Lucknow",Biotechnology,HS,OPEN,Female-only (including Supernumerary),,301477,301477
Round 1,"Galgotia'S College Of Engg. & Technology,Gautam Buddh Nagar",Information Technology,HS,SC,Female-only (including Supernumerary),,1098115,1098115
Round 1,"Noida Institute Of Engg. & Technology,Gautam Buddh Nagar",Information Technology (Collaboration & Twining Program),HS,EWS,Female-only (including Supernumerary),,1006126,1006126
Round 1,"Neelam College Of Engineering & Technology,Agra",Computer Science and Engineering (FW),HS,OPEN,Gender-Neutral,TF,1216663,1216663
Round 1,"Greater Noida Institute Of Technology,Gautam Buddh Nagar",Information Technology,HS,OBC-NCL,Gender-Neutral,,857336,1379417
Round 1,"Noida Institute Of Engg. & Technology,Gautam Buddh Nagar",Information Technology (Collaboration & Twining Program),HS,OBC-NCL,Female-only (including Supernumerary),,1419311,1419311
Round 1,"B.S.A. College Of Engineering & Technology,Mathura",Mechanical Engineering (FW),HS,OPEN,Gender-Neutral,TF,360614,1247319
Round 1,"Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Electronics and Communication Engineering,HS,SC,Female-only (including Supernumerary),,1132141,1132141
Round 1,"United College Of Engineering & Research,Allahabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,SC,Gender-Neutral,,871652,1057853
Round 1,"Raj Kumar Goel Instt. Of Technology,Ghaziabad",Computer Science,HS,OBC-NCL,Female-only (including Supernumerary),,924020,1362837
Round 1,"J.S.S. Academy Of Technical Education,Gautam Buddh Nagar",Computer Science and Engineering,HS,OPEN,Gender-Neutral,FF,390277,399737
Round 1,"Inderprastha Engg. College,Ghaziabad",Computer Science And Engineering(Artificial Intelligence & Machine Learning),HS,OBC-NCL,Gender-Neutral,,1216021,1216021
Round 1,"Kalicharan Nigam Institute Of Technology,Banda",Computer Science and Engineering,HS,OPEN,Female-only (including Supernumerary),,424947,936911
Round 1,"S.R.Institute Of Management & Technology,Lucknow",Computer Science and Engineering,HS,OBC-NCL,Gender-Neutral,,1144316,1464855
Round 1,"Babu Banarasi Das Institute Of Technology And Management, Lucknow",Electronics and Communication Engineering,HS,OBC-NCL,Gender-Neutral,,1114905,1114905
Round 1,"Axis Institute Of Technology & Management,Kanpur",Civil Engineering,HS,OPEN,Gender-Neutral,,839866,1054845
Round 1,"Veer Bahadur Singh Purvanchal University, Jaunpur",Electrical and Computer Engineering,HS,OPEN,Female-only (including Supernumerary),,877816,954067
